LIO TARGET EVENT PIPELINE - US - UK - EU/DACH  |  compiled 2026-07-20  |  Priorities: P1 must-own (highest ICP density x strategic leverage) - P2 strong fit (selective sponsor/attend) - P3 opportunistic/intel/monitor  |  ICP density = seniority concentration x ICP-segment match x decision power in room  |  companion to the Event History sheet  |  REFRESHED 2026-08-31: Owner / Next action / Next action due / Timing columns added; every row re-dated against the September 2026 calendar
"OWNER LEGEND — Keil (CEO) · Wagner (COO) · Heinzmann (CTO) · Petras (Head of US Growth) · Schmid (VP Sales) · Nusmeier (Head of Partnerships) · Stäbe (Events, in-house event lead) · PMM (product marketing / analyst relations) · DACH sales lead · EU AE. P1 owners are taken from the 'Team on site' column of the P1 Budget & Staffing tab (first-named lead). P2/P3 owners are PROPOSED DEFAULTS derived from the staffing rules in that tab (US pod -> Petras/Schmid, DACH fairs -> DACH sales lead/Stäbe, analyst events -> PMM, partner/vendor turf -> Nusmeier/PMM) — they are not decisions on record and need confirming.  |  TIMING LEGEND — ACT NOW (event within 30 days) · LAPSED (a booking deadline passed, still recoverable) · MISSED (the 2026 edition has gone) · DECIDE IN SEP (Oct-Nov event, booking decision due now) · Q4-2026 · 2027 planning · Monitor / intel."
#,Event,Region,Organizer,Next edition,City,Format,Scale,Audience / seniority,ICP segment(s) hit,ICP density (why),Priority,Lio status,Sponsorship,Price signal,Why Lio should be there,Source,Owner,Next action,Next action due,Timing (as of 2026-08-31)
1,61. BME-Symposium Einkauf und Logistik,DACH,BME e.V.,"Nov 18-19, 2026 (confirmed)",Berlin (STATION),Congress + expo,"~1,500 att., 190 speakers, 120 exhibitors",Full CPO-to-manager mix of German procurement; heavy Mittelstand + family-owned,Primary DACH industrial (core),HIGH — the single densest DACH procurement gathering; exact primary-ICP demographics,P1,Already attends (won Excellence Award here 2024),Yes,"~€1,600-2,200 est.; early-bird to Sep 30","Home fixture. The one room where Lio's entire primary ICP self-assembles annually; defend award-winner halo, run a Principals dinner, and hunt the 13,000-member BME network. Same city+week as SSOW DACH — double Berlin week.",bme.de/veranstaltungen/grossveranstaltungen/BME-symposium-einkauf-und-logistik-folder/,Wagner,Book renewal exhibitor package and reserve the Berlin Principals dinner venue for Nov 18 (one dinner covers BME + SSOW DACH the same week),2026-09-30,Q4-2026 - book in Sep
2,18. BME-eLösungstage 2027,DACH,BME e.V.,"May 11-12, 2027 (confirmed)",Düsseldorf (Areal Böhler),ProcureTech trade fair + congress,"~1,000 att., ~100 exhibitors",Heads of Procurement Digitalization / Excellence — the exact champion persona,Primary DACH industrial,HIGH — largest DACH eProcurement fair; buyers come specifically to shop for tools,P1,Already attends (Official Partner 2026),Yes,"Exhibitor early-booking −€300 until Sep 30, 2026",The highest-intent DACH audience: attendees are actively evaluating procurement tech. Renew partner tier before Sep 30 discount lapses; repeat the sidecar Principals dinner.,bme.de/veranstaltungen/grossveranstaltungen/eloesungstage/,Stäbe (Events),LIVE DEADLINE: sign the 2027 partner tier before the early-booking discount lapses Sep 30,2026-09-30,DEADLINE Sep 30
3,Handelsblatt CPO Summit 2027,DACH,Handelsblatt Media Group,"Apr 6-7, 2027 (confirmed)",Düsseldorf,C-level summit (Chatham House),~200-300 est.,"'CPOs for CPOs' — DAX + Mittelstand C-level only; €2,300-2,500 ticket keeps juniors out",Primary DACH industrial + FS secondary,HIGH — highest CPO-per-square-meter density in Germany,P1,Already attends (2026 sponsor intent + 2 placed articles),Yes,"Premium (~€2,500+ delegate)","Small, expensive, exec-only = exactly where €5-25B German enterprise deals start. Upgrade from attendee to visible sponsor + secure a speaking/fireside slot on agentic AI.",live.handelsblatt.com/event/handelsblatt-cpo-summit/,Keil,Request the 2027 sponsor + fireside package quote; upgrade from calendar-listed sponsor to visible sponsor,2026-10-31,Q4-2026
4,ProcureCon Europe 2026,DACH,WBR,"Sep 22-24, 2026 (confirmed)",Cologne (Koelnmesse),Indirect-procurement flagship conference,"650+ att., 400 procurement buyers","CPO/Head-level from EU multinationals (Maersk, Roche, Zurich caliber)",Primary DACH industrial + EU indirect,"HIGH — Europe's indirect flagship, exceptionally ON GERMAN SOIL this cycle",P1,NET-NEW — not yet attended,Yes,"~€2,000-3,500 est.","Rare alignment: the European indirect-spend flagship lands in Germany 6 days before ProcureCon East (where Lio is Lead Sponsor). One WBR negotiation could bundle both. 400 buyers of exactly Lio's category, 45 min from key customers.",procureconeu.wbresearch.com/,Keil,CONFLICT: collides with Lio's own Bots & Buyers Summit (Sep 23-24) - resolve split-or-drop before booking; the WBR Cologne+East bundle window closes with this event,2026-09-04,ACT NOW - event in 22d
5,Shared Services & Outsourcing Woche DACH (21. Jahresforum),DACH,IQPC Germany / SSON,"Nov 17-19, 2026 (confirmed)",Berlin,GBS/SSC conference (German-language),350+ senior decision-makers,DACH SSC/GBS heads — the owners of procurement BPO contracts,GBS/BPO displacement (core wedge),HIGH — German-language GBS audience; 2026 headline theme is agentic AI,P1,NET-NEW — not yet attended,Yes,"~€2,000-3,000 est.","The BPO-displacement pitch ('your BPO costs 93% too much') delivered in German to the people who sign those contracts, at an event themed on agentic AI. Speaking-slot odds high for a credible German agentic vendor. Overlaps BME Symposium (same city, same week) — one Berlin trip, two P1 events.",ssonetwork.com/events-sharedserviceswoche,Keil,Submit the German-language keynote abstract and book the sponsor tier; fold into the SSON multi-event bundle,2026-09-15,Q4-2026 - book in Sep
6,Procurement Summit 2027,DACH,Trailblazer Summits,"Jun 23-24, 2027 (confirmed)",Hamburg (Schuppen 52),Expo + conference,"2,000-2,300 att., 130+ exhibitors","German procurement practitioners, Mittelstand-to-enterprise, innovation-minded",Primary DACH industrial (volume layer),HIGH volume / MEDIUM seniority — biggest German procuretech stage,P1,Already attends (3rd consecutive year; Booth C09 + founders masterclass 2026),Yes,Mid-range; free buyer-invite program,"Volume engine for the DACH funnel: 2,300 practitioners who operate the tools daily. Keil's 3-year stage streak has compounding brand value — keep the booth + masterclass formula.",procurementsummit.eu/,Keil,Rebook booth + founders masterclass for the 4th consecutive year; claim the co-located Sustainability Summit at zero marginal cost,2026-12-31,2027 planning
7,DPW Amsterdam 2026,EU,DPW,"Sep 30 - Oct 1, 2026 (confirmed)",Amsterdam (RAI),Digital-procurement conference + expo,"2,500+ target (1,700+ in 2025), 129 sponsors",CPO/VP/director-heavy digital-procurement elite from 65+ countries; €2.2K ticket; VC + vendor ecosystem,All segments + category/analyst visibility,HIGH — the category's ground-zero event; theme 2026 = 'RECODE',P1,Already attends (2025 Growth Stage Award winner),Yes (startup→enterprise tiers),"~€1,000-2,000 sponsor tiers; €2,199 GA","Defending-champion moment: won the 2025 award, now returns above the Growth-Stage band. Bigger venue + agentic-AI zeitgeist = maximum category-leadership ROI. Amsterdam week spawns a dinner circuit — run the Principals playbook. Applications for 2026 awards close Jul 24 — decide NOW whether to compete in the higher category.",conference.dpw.ai/,Keil,"LAPSED: the award application closed Jul 24 - confirm whether it was filed, then book the sponsor tier and Amsterdam dinner regardless, as defending champion",2026-09-05,LAPSED + ACT NOW - event in 30d
8,World Procurement Congress 2027 (+ AI Forum + Awards),UK,Procurement Leaders / World 50,"May 18-20, 2027 (confirmed)",London (InterContinental O2),Flagship congress + awards,"~1,900 professionals+sponsors est., 200+ speakers",Densest CPO room in EMEA; 70% director+; Global 2000 members,All segments; FS/insurance CPOs present,HIGH — the premium EMEA CPO gathering,P1,Already attends (2026 partner + Gaucho O2 private dinner),"Yes (partner tiers, POA)",Premium,The anchor of UK strategy. Repeat and upgrade the 2026 formula: partner tier + AI Forum speaking slot + the Gaucho dinner targeted at FS CPOs (no dedicated FS-procurement event exists — this is where they are).,procurementleaders.com/events/world-procurement-congress/,Keil,Request the partner-tier quote (POA) + AI Forum slot; rebook the Gaucho O2 dinner aimed at FS CPOs,2026-11-30,2027 planning
9,ProcureCon East 2026,US,WBR,"Sep 28-30, 2026 (confirmed)",Boston (Westin Copley Place),US indirect-procurement flagship,400+ senior practitioners,CPO/VP indirect from Fortune 500; majority director+; EPIC Awards stage,US F500 indirect + GBS,HIGH — flagship US indirect audience,P1,Already committed — LEAD SPONSOR (1 of 36),Yes (Lead tier locked),Lead-sponsor tier,"Lio's biggest US bet, sharing sponsor billing with SAP/Coupa/GEP. Compound it: book the sidecar CPO dinner now, push for a keynote slot, and time a US customer announcement to the event window.",procureconeast.wbresearch.com/sponsors,Wagner,"Fee is sunk - lock the activation: CPO dinner venue for Sep 29, keynote slot, and a US customer announcement timed to the event",2026-09-07,ACT NOW - event in 28d
10,SSOW - Shared Services & Outsourcing Week 2027,US,SSON / IQPC,"Mar 8-11, 2027 (confirmed)",Orlando (Rosen Shingle Creek),GBS mega-event,"1,200+ SSO/GBS leaders","GBS/SSC heads, transformation VPs — BPO contract owners",GBS/BPO displacement (core wedge),HIGH — largest concentration of US BPO-budget owners,P1,Already attends (Keil spoke 2x in 2026),Yes (40+ sponsors typical),~$3K delegate; sponsor tiers,2026's 'Your BPO Costs 93% Too Much' demo-blitz formula worked — renew with a bigger footprint and a customer on stage. Negotiate as part of an SSON multi-event bundle (see San Diego + IA Week + DACH).,ssonetwork.com/events-shared-services-week,Keil,Renew with a bigger footprint inside the SSON bundle; secure a customer on stage,2026-10-31,Q4-2026 - bundle
11,SIG Global Executive Summit - Fall 2026,US,Sourcing Industry Group,"Oct 25-28, 2026 (confirmed)",Chicago (Navy Pier),Buy-side executive summit,Few hundred execs,"Heads of sourcing, outsourcing & third-party management — they negotiate and renew BPO contracts",GBS/BPO displacement (bullseye),HIGH — SIG membership literally owns outsourcing decisions,P1,NET-NEW — not yet attended,Yes,Membership + sponsor packages,The sleeper pick of the US calendar: no event has a higher share of people whose job is managing the exact BPO contracts Lio replaces at 7% of cost. A working-session slot here outperforms a booth anywhere else.,sig.org/events-2/sig-summit/,Petras,"Check whether SIG membership is a prerequisite, then pitch a buy-side working session ('BPO at 7% of cost') instead of a booth",2026-09-15,DECIDE IN SEP
12,SSON San Diego GBS cluster (SSOW Autumn + GBS Executive Leadership Summit Select),US,SSON,"Sep 14-17, 2026 (confirmed)",San Diego (Marriott Marquis Marina),Conference + closed-door exec summit,350+ GBS leaders + capped exec room,Senior SSO/GBS (VP/SVP/Dir) incl. agentic-AI-in-shared-services bootcamp; Select = C-level closed door,GBS/BPO displacement,HIGH — second US GBS bite of the year + intimate exec access,P1,NET-NEW — not yet attended,Yes (40+ sponsors; early-bird ends Jul 24!),"$2,799-3,599 passes",Two shots in one trip: the open conference (agentic-AI bootcamp already on the agenda) plus the closed-door exec summit. Lio already buys SSON for Orlando — a multi-event bundle (San Diego + Orlando + New Orleans IA Week + Berlin DACH) should command real discount. Early-bird deadline Jul 24 — days away.,ssonetwork.com/events-shared-services-week-autumn,Petras,LAPSED: early-bird closed Jul 24 - decide go/no-go at standard rate (~€28K) or roll the spend into the SSON bundle,2026-09-02,LAPSED + ACT NOW - event in 14d
13,DPW New York 2027,US,DPW,Jun 2027 (annual; date TBA),New York (Brooklyn),US digital-procurement conference,"~1,000 target","US Fortune 500 digital-procurement leaders; $2,500 GA",US F500 indirect + category visibility,HIGH — US mirror of the category's home event,P1,Already attends (2026: sponsor + Booth 10 + Keil speaker + private dinner),Yes,"$2,500 GA / $5,999 vendor","Renew the 2026 triple presence + dinner. As US reference customers land, DPW NY is where the 'agentic procurement won in America too' proof gets staged.",nyc.dpw.ai/,Keil,"Watch for the 2027 date release, then rebook the triple presence (sponsor + booth + speaker + private dinner)",2026-11-30,2027 planning
14,NAPES 2027,US,Executive Platforms,"Apr 21-23, 2027 (confirmed)",DENVER (Gaylord Rockies) — MOVED from Miami,Executive summit with 1:1s,80%+ Director+,"CPOs, CSCOs, EVP/SVP/VP of NA enterprises",US F500 indirect + COO/CFO,HIGH — curated exec density with guaranteed 1:1 meetings,P1,Already attends (2026 exhibitor + sidecar Miami dinner),Yes (tiered),Summit sponsor tiers,Keep the summit+dinner combo but NOTE THE CITY MOVE Miami→Denver — replan the dinner venue. Same organizer as NASCES (Sep): negotiate a two-event bundle.,executiveplatforms.com/napes/,Petras,Strike the NAPES+NASCES two-event bundle with Executive Platforms before NASCES runs Sep 21-23; rebook the dinner venue in DENVER (city moved from Miami),2026-09-10,ACT NOW - bundle window
