"LIO P1 EVENT PROGRAM — QUARTER-BY-QUARTER BUDGET & STAFFING PLAN (Q3-2026 → Q2-2027)  |  compiled 2026-07-21  |  ALL FIGURES ARE PLANNING ESTIMATES (mid-range) in EUR: FX assumed 1 USD = 0.92 EUR, 1 GBP = 1.17 EUR  |  T&E norms: EU trip €700-1,200/person, transatlantic €3,000-3,500/person incl. hotel  |  Dinners = 15-25 guests, venue+F&B  |  Scope: the 16 P1 events from the Target Event Pipeline tab + 1 committed renewal (ProcureCon West); own franchises (Bots & Buyers, webinars) NOT included  |  Sponsorship fees are estimates pending organizer quotes — treat as budget envelopes, not prices"

#,Quarter,Event,Dates,City,Booking status,Sponsorship / booth (€ est.),Sidecar dinner (€ est.),Travel & expenses (€ est.),TOTAL NEW € (est.),"Committed € (already contracted, est.)",Team on site,Staff-days,Key decisions / deadlines
1,Q3-2026,SSON San Diego GBS cluster (SSOW Autumn + GBS Select),"Sep 14-17, 2026",San Diego,TO BOOK — early-bird ends Jul 24!,28000,0,10000,38000,0,"Petras, Schmid, 1 Sales Engineer",12,Negotiate as SSON multi-event bundle (Orlando + IA Week + DACH). No own dinner — use the closed-door Select summit for exec access.
2,Q3-2026,ProcureCon Europe Cologne,"Sep 22-24, 2026",Cologne,TO BOOK (net-new),30000,12000,4000,46000,0,"Keil (push speaking slot), 2 DACH AEs, FDE, Events lead",15,Bundle-negotiate with WBR alongside East lead-sponsorship. Principals dinner Sep 23. Domestic travel keeps cost low.
3,Q3-2026,ProcureCon East Boston (LEAD SPONSOR),"Sep 28-30, 2026",Boston,COMMITTED (fee contracted),3000,14000,17000,34000,70000,"Wagner, Petras, Schmid, SE, Events lead",20,"Fee sunk — budget is activation only: CPO dinner Sep 29, keynote slot push, US customer announcement timed to event."
4,Q3-2026,DPW Amsterdam,"Sep 30 - Oct 1, 2026",Amsterdam,TO BOOK — award application closes Jul 24!,28000,12000,7000,47000,0,"Keil, Heinzmann, PMM, FDE, 2 AEs",18,Defending-champion moment; founders split vs Boston (Keil+Heinzmann Amsterdam / Wagner+Petras Boston). Dinner into the Amsterdam side-event circuit.
,— Q3-2026 SUBTOTAL —,,,,,,,,165000,70000,,65,

5,Q4-2026,SIG Global Executive Summit Fall,"Oct 25-28, 2026",Chicago,TO BOOK (net-new),23000,0,9000,32000,0,"Petras, SE (+Keil if working-session slot lands)",12,"Pitch a buy-side working session ('BPO at 7% of cost'), not a booth. SIG membership may be prerequisite — check."
6,Q4-2026,SSOW DACH Berlin (21. Jahresforum),"Nov 17-19, 2026",Berlin,TO BOOK (net-new),18000,0,2000,20000,0,"Keil (keynote day only), GBS-focused AE, SE",8,German-language agentic-AI theme = high speaking odds. Dinner covered by BME row (same city/week).
7,Q4-2026,61. BME-Symposium,"Nov 18-19, 2026",Berlin,TO BOOK (renewal),20000,12000,3000,35000,0,"Wagner, 3 DACH AEs, Events lead",12,One Berlin Principals dinner (Nov 18) covers BME + SSOW DACH audiences. Book venue by September.
,— Q4-2026 SUBTOTAL —,,,,,,,,87000,0,,32,

8,Q1-2027,ProcureCon West Las Vegas,"Mar 8-10, 2027",Las Vegas,COMMITTED (sponsor already listed),0,0,10000,10000,35000,"Petras, US AE, SE",9,"Fee assumed contracted (Lio already on sponsor page). Collides with SSOW Orlando — Petras leads Vegas, Keil leads Orlando."
9,Q1-2027,SSOW Orlando,"Mar 8-11, 2027",Orlando,"TO BOOK (renewal, bigger footprint)",35000,11000,12000,58000,0,"Keil, Value Consultant, SE, US AE",16,Renew the demo-blitz formula + get a customer on stage. Part of SSON bundle negotiation (see San Diego row).
10,Q1-2027,Americas Procurement Congress,Mar 2027 (venue TBA),TBA (US),TO BOOK (renewal),32000,0,8000,40000,0,"Petras, Wagner",6,Convert 2026 workshop goodwill into AI Forum main-stage slot via the World 50 relationship.
,— Q1-2027 SUBTOTAL —,,,,,,,,108000,35000,,31,

11,Q2-2027,Handelsblatt CPO Summit,"Apr 6-7, 2027",Düsseldorf,TO BOOK (upgrade to sponsor),25000,10000,2000,37000,0,"Keil, Wagner, DACH sales lead",6,Upgrade from attendee to visible sponsor + fireside slot. Small dinner (12-15 CPOs) night one.
12,Q2-2027,NAPES Denver,"Apr 21-23, 2027",Denver,TO BOOK (renewal — NOTE CITY MOVE from Miami),30000,11000,9000,50000,0,"Petras, Schmid, SE",9,Re-book dinner venue in DENVER (2026 plan assumed Miami). Negotiate NAPES+NASCES two-event bundle with Executive Platforms.
