Event,Plan expected,Verified date (2026-08-31),Venue,Status,Upcoming deadline,Note,Source
SSON / SSOW Autumn (Shared Services & Outsourcing Week Autumn),"Sep 14-17, 2026 (San Diego)","Sep 14-17, 2026","Marriott Marquis San Diego Marina, San Diego, CA",confirmed,"Event is ~2 weeks away from 2026-08-31, registration/travel is now urgent",30th SSOW edition; GBS cluster confirmed as expected.,https://www.ssonetwork.com/events-shared-services-week-autumn
ProcureCon Europe (Cologne),Sep 2026,"Sep 22-24, 2026","Congress-Centrum Koelnmesse, Cologne, Germany",confirmed,~3 weeks out from 2026-08-31; late registration window,650+ European procurement decision-makers; CPO-level.,https://www.emeoutlookmag.com/business-industry-events/procurecon-europe-2026
ProcureCon East (Boston),late Sep 2026,"Sep 28-30, 2026","The Westin Copley Place, Boston, MA",confirmed,~4 weeks out from 2026-08-31,Also listed as ProcureCon Indirect East.,https://procureconeast.wbresearch.com/
DPW Amsterdam,late Sep 2026,"Sep 30 - Oct 1, 2026","RAI Amsterdam, Netherlands",confirmed,~4 weeks out from 2026-08-31; Lio has strong DPW history (Surventis/BASF Coatings lead originated at its DPW booth),2026 theme announced Feb 2026 ('RECODE' family of themes across DPW events).,https://help.dpw.ai/when-is-dpw-amsterdam
SIG Fall Global Executive Summit (Chicago),Q4 2026,"Oct 25-28, 2026","Navy Pier, Chicago, IL",confirmed,Registration open (Cvent site live),"Overlaps Bots & Buyers Munich (Oct 27-28, 2026), scheduling conflict to flag in the deck.",https://web.cvent.com/event/bd9daecb-5e80-41f3-acb3-28aa87882f7d/websitePage:2769dd2c-89d0-41ce-9f1b-d47022770985
SSOW DACH / Shared Services & Outsourcing Woche (Berlin),Nov 2026,"Nov 17-19, 2026","Berlin, Germany (IQPC/SSON Jahresforum)",confirmed,None found passed; standard registration open,"350+ senior GBS/shared-services decision-makers (Bayer, Bosch, Deutsche Telekom, Zalando...).",https://www.ssonetwork.com/events-sharedserviceswoche/agenda/day1
61. BME-Symposium Einkauf und Logistik (Berlin),"Nov 18-19, 2026","Nov 18-19, 2026","STATION Berlin, Luckenwalder Str. 4-6, 10963 Berlin",confirmed,"€100 early-bird discount ends Sep 30, 2026. UPCOMING deadline",Largest German-language procurement/logistics symposium; three parallel conferences. Overlaps SSOW DACH (Nov 17-19).,https://www.bme.de/veranstaltungen/grossveranstaltungen/BME-symposium-einkauf-und-logistik-folder/facts/
ProcureCon West (Las Vegas),Mar 2027,"Mar 8-10, 2027","JW Marriott Las Vegas Resort and Spa, Las Vegas, NV",confirmed,None imminent,"One aggregator (showsbee) lists San Diego, official WBR venue page says JW Marriott Las Vegas; trust official.",https://procureconwest.wbresearch.com/
SSOW North America (Orlando),Mar 2027,"Mar 8-11, 2027","Orlando, FL",confirmed,None imminent,"Directly overlaps ProcureCon West (Mar 8-10, 2027), conflict to flag.",https://www.ssonetwork.com/events-shared-services-week
Americas Procurement Congress (Procurement Leaders),Mar 2027 (previously Miami),"AI Forum Mar 22, Congress Mar 23-24, 2027","The Roosevelt New Orleans, A Waldorf Astoria Hotel, New Orleans, LA",venue_changed,None imminent,Moved from Miami to New Orleans for 2027. Lio ran 'Humans vs. AI Agents' workshop at the 2026 edition.,https://www.clocate.com/americas-procurement-congress/46808/
Handelsblatt CPO-Summit,2027,"Apr 6-7, 2027","Düsseldorf, Germany",confirmed,None imminent,DACH CPO audience (DAX + Mittelstand); askLio previously featured in Handelsblatt.,https://live.handelsblatt.com/event/handelsblatt-cpo-summit/
"NAPES, North American Procurement Executive Summit (Executive Platforms)",Q2 2027 (reportedly moved Miami→Denver),,"2026 edition was Apr 13-15, 2026, JW Marriott Miami Turnberry; 2027 location/dates not yet published",unclear,n/a,Could not verify the reported Miami→Denver move for 2027; official site still shows 2026 info as of 2026-08-31. Re-check in Q4 2026.,https://www.executiveplatforms.com/napes/
Gartner Supply Chain Symposium/Xpo (Orlando),May 2027,"May 3-5, 2027","Orlando, FL",confirmed,None imminent,,https://www.gartner.com/en/conferences/na/supply-chain-us
18. BME-eLÖSUNGSTAGE (Düsseldorf),"May 11-12, 2027","May 11-12, 2027","Areal Böhler, Düsseldorf, Germany",confirmed,"€300 early-bird discount ends Sep 30, 2026. UPCOMING deadline","Key German procuretech expo; day 1 9:30-18:00 + evening event, day 2 9:00-16:15.",https://shop.bme.de/products/18-bme-elosungstage-2027
World Procurement Congress (London),May 2027,"AI Forum May 18; Congress May 19-20; Awards May 20, 2027","InterContinental London - The O2, London, UK",confirmed,None imminent,Day-0 AI Forum + Resilience Forum; World Procurement Awards on final day.,https://events.procurementleaders.com/world-procurement-congress/
DPW New York,Jun 2027,"Jun 2-3, 2027 (per DPW help-center FAQ pattern; treat as provisional)","Brooklyn, NY (2026 edition: Duggal Greenhouse, Brooklyn Navy Yard)",unclear,n/a,"DPW FAQ references the annual Brooklyn flagship on June 2-3; explicit 2027 confirmation not yet indexed, re-check after DPW Amsterdam 2026.",https://help.dpw.ai/dpw-new-york
Procurement Summit (Hamburg),2027,"Jun 23-24, 2027","Hamburg, Germany",confirmed,None imminent (free-ticket invitation page live),Leading German expo/conference for procurement innovation.,https://procurementsummit.eu/
[NET-NEW] Bots & Buyers NYC (Lio's own US summit),n/a (new since 2026-07-20 list),"Sep 23, 2026",New York City,confirmed,"Application-only and ~3 weeks out from 2026-08-31, apply immediately","Lio's own franchise: live agents, trainings, CPO panels, Lio Awards, 500+ curated leaders. Free.",https://lio.ai/events
"[NET-NEW] Bots & Buyers 2026 EU (Lio's own flagship, Munich)",n/a (new since 2026-07-20 list),"Oct 27-28, 2026",MotorWorld München (Munich-Freimann),confirmed,Registration open on event site,Conflicts with SIG Fall Summit Chicago (Oct 25-28).,https://bots-and-buyers-eu.lio.ai/
[NET-NEW] Agentic AI in Shared Services Bootcamp (SSON),n/a,"Recurring, launched at SSOW Orlando 2026, returning at subsequent SSOW editions",Co-located with SSOW events,confirmed,n/a,"Directly on-thesis for agentic GBS; likely present at SSOW Autumn San Diego (Sep 14-17, 2026).",https://www.ssonetwork.com/events-agentic-applied-ai-enterprise
"[NET-NEW] Agentic AI in Procurement (KonnectHouse, San Francisco)",n/a,2026 edition announced (specific date on organizer page),"San Francisco, CA",unclear,n/a,"Interactive format (live demos, brainstorming); small-format US West Coast option.",https://www.konnecthouse.com/events/agentic-ai-in-procurement-san-francisco-26/
